Individual	Haplotypecaller
FPD_0028	FPD_0028_SK211E
FPD_0151	-
FPD_0271	FPD_0271_SK221E
FPD_0482	-
FPD_0557	FPD_0557_SK221E
FPD_0840	-
FPD_0850	FPD_0850_SK991E
FPD_0934	-
FPD_0989	FPD_0989_SK221E
FPD_1037	-
FPD_1052	-
FPD_1077	FPD_1077_SK221E
FPD_1155	FPD_1155_SK221E
FPD_1179	FPD_1179_SK211E
FPD_1254	-
FPD_1279	FPD_1279_SK221E
FPD_1302	FPD_1302_SK991E
FPD_1346	FPD_1346_SK211E
FPD_1355	-
FPD_1368	FPD_1368_SK211E
FPD_1376	FPD_1376_SK191E
FPD_1420	FPD_1420_SK231E
FPD_1430	-
FPD_1492	-
FPD_1525	-
FPD_1675	-
FPD_1853	-
FPD_1894	-
FPD_1903	FPD_1903_SK201E
FPD_2036	FPD_2036_SK191E
FPD_2179	-
FPD_2203	FPD_2203_SK201E
FPD_2307	FPD_2307_SK211E
FPD_2404	FPD_2404_SK201E
FPD_2491	-
FPD_2577	FPD_2577_SK221E
FPD_2588	FPD_2588_SK201E
FPD_2647	FPD_2647_SK221E
FPD_2657	-
FPD_2664	-
FPD_2680	FPD_2680_SK191E
FPD_2713	-
FPD_2735	FPD_2735_SK191E
FPD_2811	-
FPD_2876	-
FPD_2885	FPD_2885_SK191E
FPD_2979	FPD_2979_SK221E
FPD_3154	-
FPD_3206	FPD_3206_SK221E
FPD_3233	FPD_3233_SK221E
FPD_3277	FPD_3277_SK221E
FPD_3306	FPD_3306_SK191E
FPD_3385	FPD_3385_SK231E
FPD_3432	FPD_3432_SK241E
FPD_3672	-
FPD_3693	-
FPD_3933	FPD_3933_SK221E
FPD_3936	FPD_3936_SK241E
FPD_3971	-
FPD_4068	-
FPD_4082	FPD_4082_SK231E
FPD_4092	-
FPD_4126	-
FPD_4198	FPD_4198_SK202E
FPD_4266	-
FPD_4274	FPD_4274_SK991E
FPD_4284	FPD_4284_SK231E
FPD_4295	-
FPD_4318	FPD_4318_SK231E
FPD_4436	-
FPD_4478	FPD_4478_SK201E
FPD_4491	FPD_4491_SK241E
FPD_4505	FPD_4505_SK231E
FPD_4532	FPD_4532_SK191E
FPD_4564	FPD_4564_SK221E
FPD_4623	FPD_4623_SK221E
FPD_4651	FPD_4651_SK221E
FPD_4754	FPD_4754_SK211E
FPD_4776	FPD_4776_SK221E
FPD_4803	FPD_4803_SK221E
FPD_4866	FPD_4866_SK221E
FPD_5002	-
FPD_5009	-
FPD_5026	FPD_5026_SK221E
FPD_5053	FPD_5053_SK191E
FPD_5109	-
FPD_5147	-
FPD_5195	FPD_5195_SK211E
FPD_5257	FPD_5257_SK231E
FPD_5388	FPD_5388_SK991E
FPD_5420	FPD_5420_SK201E
FPD_5534	-
FPD_5540	FPD_5540_SK201E
FPD_5599	-
FPD_5718	FPD_5718_SK191E
FPD_5724	-
FPD_5759	FPD_5759_SK231E
FPD_5763	-
FPD_5809	FPD_5809_SK991E
FPD_5810	-
FPD_5839	FPD_5839_SK211E
FPD_5868	FPD_5868_SK231E
FPD_5883	-
FPD_5949	FPD_5949_SK231E
FPD_6034	-
FPD_6074	FPD_6074_SK231E
FPD_6099	-
FPD_6205	-
FPD_6256	FPD_6256_SK221E
FPD_6359	-
FPD_6425	-
FPD_6484	-
FPD_6497	-
FPD_6513	FPD_6513_SK991E
FPD_6549	-
FPD_6598	FPD_6598_SK211E
FPD_6863	-
FPD_6947	-
FPD_7065	FPD_7065_SK221E
FPD_7123	-
FPD_7194	FPD_7194_SK201E
FPD_7203	FPD_7203_SK211E
FPD_7233	FPD_7233_SK221E
FPD_7266	FPD_7266_SK201E
FPD_7293	-
FPD_7399	FPD_7399_SK191E
FPD_7432	FPD_7432_SK231E
FPD_7455	FPD_7455_SK221E
FPD_7612	-
FPD_7618	-
FPD_7638	FPD_7638_SK231E
FPD_7759	FPD_7759_SK991E
FPD_7768	-
FPD_7794	FPD_7794_SK231E
FPD_7863	-
FPD_7883	FPD_7883_SK221E
FPD_7895	-
FPD_7911	FPD_7911_SK231E
FPD_8012	-
FPD_8051	FPD_8051_SK221E
FPD_8076	FPD_8076_SK221E
FPD_8125	-
FPD_8337	-
FPD_8353	-
FPD_8526	FPD_8526_SK231E
FPD_8557	FPD_8557_SK991E
FPD_8607	FPD_8607_SK211E
FPD_8669	-
FPD_8703	FPD_8703_SK201E
FPD_8750	-
FPD_8758	-
FPD_8774	FPD_8774_SK221E
FPD_8898	FPD_8898_SK231E
FPD_8957	FPD_8957_SK211E
FPD_9068	FPD_9068_SK211E
FPD_9108	-
FPD_9168	FPD_9168_SK221E
FPD_9169	FPD_9169_SK991E
FPD_9236	FPD_9236_SK191E
FPD_9239	FPD_9239_SK231E
FPD_9282	-
FPD_9290	FPD_9290_SK221E
FPD_9370	FPD_9370_SK992E
FPD_9417	FPD_9417_SK221E
FPD_9450	-
FPD_9479	FPD_9479_SK221E
FPD_9527	FPD_9527_SK231E
FPD_9560	FPD_9560_SK231E
FPD_9586	FPD_9586_SK191E
FPD_9590	FPD_9590_SK241E
FPD_9682	FPD_9682_SK221E
FPD_9701	FPD_9701_SK231E
FPD_9803	-
FPD_9886	FPD_9886_SK221E
FPD_9978	FPD_9978_SK241E
FPD_CT01	-
FPD_CT02	-
FPD_CT03	-
FPD_CT04	-
FPD_CT07	-
FPD_CT08	-
FPD_CT09	-
FPD_CT10	-
